dataset,requirement,requirement_type,requirement_text,variant,variant_label,n_images,pass_rate_mean,pass_rates_raw,precondition_match_mean,precondition_match_raw,local_replication_pass_rate_n100,paper_reference_pass_rate,notes
sgsm,S7,SFFR,A vehicle is in the lane to the right and within 7 meters,lr,Per-requirement LoRA,10000,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.83,"[77, 87, 84, 90, 81, 89, 82, 86, 76, 78]",,,
mnist,M1,CSFR,The digit is a 2 and has very low height,allreq,One LoRA over all MNIST requirements,1000,0.974,[0.974],0.523,"[51.0, 54.0, 45.0, 54.0, 53.0, 59.0, 55.00000000000001, 48.0, 53.0, 51.0]",,,MNIST ablation joined from local replication and rq1_mnist.json.
mnist,M2,CSFR,The digit is a 3 and is very thick,allreq,One LoRA over all MNIST requirements,1000,0.979,[0.979],0.112,"[13.0, 11.0, 11.0, 13.0, 13.0, 8.0, 9.0, 11.0, 12.0, 11.0]",,,MNIST ablation joined from local replication and rq1_mnist.json.
mnist,M3,CSFR,The digit is a 7 and is very thick,allreq,One LoRA over all MNIST requirements,1000,0.932,[0.932],0.275,"[26.0, 25.0, 34.0, 34.0, 27.0, 26.0, 20.0, 28.999999999999996, 28.999999999999996, 25.0]",,,MNIST ablation joined from local replication and rq1_mnist.json.
mnist,M4,CSFR,The digit is a 9 and is very left leaning,allreq,One LoRA over all MNIST requirements,1000,0.945,[0.945],0.564,"[65.0, 53.0, 48.0, 55.00000000000001, 51.0, 53.0, 63.0, 60.0, 54.0, 62.0]",,,MNIST ablation joined from local replication and rq1_mnist.json.
mnist,M5,CSFR,The digit is a 6 and is very right leaning,allreq,One LoRA over all MNIST requirements,1000,0.94,[0.94],0.229,"[20.0, 23.0, 23.0, 22.0, 25.0, 25.0, 24.0, 20.0, 25.0, 22.0]",,,MNIST ablation joined from local replication and rq1_mnist.json.
mnist,M6,CSFR,The digit is a 0 and has very low height,allreq,One LoRA over all MNIST requirements,1000,0.836,[0.836],0.299,"[26.0, 28.000000000000004, 36.0, 22.0, 32.0, 27.0, 34.0, 30.0, 27.0, 37.0]",,,MNIST ablation joined from local replication and rq1_mnist.json.
mnist,M1,CSFR,The digit is a 2 and has very low height,alldata,One LoRA over all MNIST data,1000,0.982,[0.982],0.028,"[3.0, 3.0, 2.0, 1.0, 6.0, 3.0, 2.0, 3.0, 1.0, 4.0]",,,MNIST ablation joined from local replication and rq1_mnist.json.
mnist,M2,CSFR,The digit is a 3 and is very thick,alldata,One LoRA over all MNIST data,1000,0.982,[0.982],0.004,"[0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]",,,MNIST ablation joined from local replication and rq1_mnist.json.
mnist,M3,CSFR,The digit is a 7 and is very thick,alldata,One LoRA over all MNIST data,1000,0.996,[0.996],0.074,"[11.0, 13.0, 5.0, 5.0, 8.0, 7.000000000000001, 8.0, 9.0, 3.0, 5.0]",,,MNIST ablation joined from local replication and rq1_mnist.json.
mnist,M4,CSFR,The digit is a 9 and is very left leaning,alldata,One LoRA over all MNIST data,1000,0.966,[0.966],0.127,"[11.0, 10.0, 8.0, 13.0, 16.0, 19.0, 9.0, 16.0, 14.000000000000002, 11.0]",,,MNIST ablation joined from local replication and rq1_mnist.json.
mnist,M5,CSFR,The digit is a 6 and is very right leaning,alldata,One LoRA over all MNIST data,1000,0.992,[0.992],0.005,"[1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 0.0]",,,MNIST ablation joined from local replication and rq1_mnist.json.
mnist,M6,CSFR,The digit is a 0 and has very low height,alldata,One LoRA over all MNIST data,1000,0.99,[0.99],0.029,"[2.0, 3.0, 3.0, 4.0, 6.0, 2.0, 2.0, 1.0, 4.0, 2.0]",,,MNIST ablation joined from local replication and rq1_mnist.json.
